Truck Number,Style,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Claim Number,Scale Claim Cost,Scale Labor Cost,claim_flag
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 2079,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 9917,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 16617,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 26523,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 30716,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 30784,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 30815,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 34328,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 35380,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 35442,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 39070,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 40138,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 41964,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 47267,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 49324,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 54486,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 61023,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 75322,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 75323,0.0,0.0,0
Truck 14519,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 80665,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 13447,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 20853,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 30682,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 31082,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 33988,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 34365,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 43226,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 59011,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 74974,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 76633,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 76669,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 80489,0.0,0.0,0
Truck 14520,Style 7,Option 33,Option 101,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 90544,0.0,0.0,0
Truck 14521,Style 7,Option 27,Option 98,Option 185,Option 230,Option 265,Option 285,Option 291,Option 303,Claim 27978,0.0,0.0,0
Truck 14521,Style 7,Option 27,Option 98,Option 185,Option 230,Option 265,Option 285,Option 291,Option 303,Claim 111025,0.0,0.0,0
Truck 14522,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 21943,0.0,0.0,0
Truck 14522,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 33897,0.0,0.0,0
Truck 14522,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 44804,0.0,0.0,0
Truck 14522,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 75641,0.0,0.0,0
Truck 14523,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 32746,0.0,0.0,0
Truck 14523,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 42275,0.0,0.0,0
Truck 14523,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 45472,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 2650,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 26595,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 28178,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 45503,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 62288,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 90034,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 91455,0.0,0.0,0
Truck 14524,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 94424,0.0,0.0,0
Truck 14525,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 6148,0.0,0.0,0
Truck 14525,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 32749,0.0,0.0,0
Truck 14525,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 33638,0.0,0.0,0
Truck 14525,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 44686,0.0,0.0,0
Truck 14525,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 303,Claim 59393,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 6127,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 12476,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 19480,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 24328,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 26538,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 27533,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 30806,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 31520,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 38916,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 41577,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 60405,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 64775,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 82172,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 82374,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 82375,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 91026,0.0,0.0,0
Truck 14526,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 122646,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 13241,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 27656,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 31339,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 32531,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 36609,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 36993,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 50067,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 56442,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 62317,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 73074,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 81107,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 81188,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 81642,0.0,0.0,0
Truck 14527,Style 7,Option 65,Option 98,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 122365,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 32725,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 33099,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 56802,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 61658,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 62287,0.0,0.0,0
Truck 14528,Style 7,Option 35,Option 98,Option 185,Option 218,Option 265,Option 285,Option 291,Option 303,Claim 71344,0.0,0.0,0
Truck 14529,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 21787,0.0,0.0,0
Truck 14529,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 43757,0.0,0.0,0
Truck 14529,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 78050,0.0,0.0,0
Truck 14529,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 106262,0.0,0.0,0
Truck 14529,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 118626,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 43673,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 60114,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 61346,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 70733,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 78699,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 88664,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 105301,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 106482,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 114919,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 116641,0.0,0.0,0
Truck 14530,Style 3,Option 39,Option 141,Option 181,Option 206,Option 265,Option283,Option 291,Option 300,Claim 123077,0.0,0.0,0
Truck 14531,Style 4,Option 45,Option 114,Option 185,Option 207,Option 265,Option 284,Option 291,Option 302,Claim 26227,0.0,0.0,0
Truck 14531,Style 4,Option 45,Option 114,Option 185,Option 207,Option 265,Option 284,Option 291,Option 302,Claim 64361,0.0,0.0,0
Truck 14532,Style 3,Option 36,Option 108,Option 185,Option 207,Option 265,Option283,Option 291,Option 301,,0.0,0.0,0
Truck 14533,Style 3,Option 36,Option 108,Option 185,Option 207,Option 265,Option283,Option 291,Option 301,Claim 79084,0.0,0.0,0
Truck 14533,Style 3,Option 36,Option 108,Option 185,Option 207,Option 265,Option283,Option 291,Option 301,Claim 83981,0.0,0.0,0
Truck 14533,Style 3,Option 36,Option 108,Option 185,Option 207,Option 265,Option283,Option 291,Option 301,Claim 110627,0.0,0.0,0
Truck 14534,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,,0.0,0.0,0
Truck 14535,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 54767,0.0,0.0,0
Truck 14535,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 58345,0.0,0.0,0
Truck 14535,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 71325,0.0,0.0,0
Truck 14535,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 113540,0.0,0.0,0
Truck 14536,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,,0.0,0.0,0
Truck 14537,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 68803,0.0,0.0,0
Truck 14538,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 59405,0.0,0.0,0
Truck 14539,Style 4,Option 36,Option 111,Option 185,Option 237,Option 265,Option283,Option 291,Option 301,Claim 72986,0.0,0.0,0
Truck 14540,Style 7,Option 33,Option 101,Option 187,Option 218,Option 265,Option 284,Option 291,Option 299,Claim 46234,0.0,0.0,0
Truck 14541,Style 5,Option 29,Option 85,Option 183,Option 216,Option 265,Option 282,Option 291,Option 300,,0.0,0.0,0
Truck 14542,Style 7,Option 27,Option 98,Option 188,Option 208,Option 265,Option 284,Option 291,Option 301,Claim 9615,0.0,0.0,0
Truck 14542,Style 7,Option 27,Option 98,Option 188,Option 208,Option 265,Option 284,Option 291,Option 301,Claim 23783,0.0,0.0,0
Truck 14542,Style 7,Option 27,Option 98,Option 188,Option 208,Option 265,Option 284,Option 291,Option 301,Claim 40481,0.0,0.0,0
Truck 14542,Style 7,Option 27,Option 98,Option 188,Option 208,Option 265,Option 284,Option 291,Option 301,Claim 89052,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 9378,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 20368,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 33893,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 43679,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 43695,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 107100,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 114317,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 116647,0.0,0.0,0
Truck 14543,Style 7,Option 33,Option 101,Option 185,Option 206,Option 265,Option 285,Option 291,Option 301,Claim 119795,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 18907,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 19769,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 34636,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 78041,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 101069,0.0,0.0,0
Truck 14544,Style 3,Option 31,Option 84,Option 195,Option 210,Option 265,Option283,Option 291,Option 301,Claim 121252,0.0,0.0,0
Truck 14545,Style 4,Option 27,Option 103,Option 185,Option 207,Option 265,Option 284,Option 291,Option 301,Claim 108633,0.0,0.0,0
Truck 14546,Style 3,Option 65,Option 103,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 19823,0.0,0.0,0
Truck 14546,Style 3,Option 65,Option 103,Option 181,Option 208,Option 265,Option 285,Option 291,Option 301,Claim 50969,0.0,0.0,0
Truck 14547,Style 3,Option 49,Option 98,Option 188,Option 230,Option 267,Option 284,Option 291,Option 301,Claim 54410,0.0,0.0,0
Truck 14548,Style 5,Option 28,Option 158,Option 183,Option 222,Option 265,Option 282,Option 291,Option 300,Claim 38753,0.0,0.0,0
Truck 14548,Style 5,Option 28,Option 158,Option 183,Option 222,Option 265,Option 282,Option 291,Option 300,Claim 50228,0.0,0.0,0
Truck 14549,Style 7,Option 35,Option 98,Option 182,Option 208,Option 267,Option 284,Option 291,Option 301,Claim 8670,0.0,0.0,0
Truck 14549,Style 7,Option 35,Option 98,Option 182,Option 208,Option 267,Option 284,Option 291,Option 301,Claim 60810,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 656,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 25447,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 26599,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 29947,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 31266,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 31646,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 38834,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 43935,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 52213,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 53416,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 58350,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 72253,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 75349,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 75437,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 75648,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 75825,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 78761,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 79469,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 86622,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 90652,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 94740,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 99005,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 101481,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 110470,0.0,0.0,0
Truck 14550,Style 8,Option 32,Option 113,Option 182,Option 214,Option 265,Option 285,Option 291,Option 301,Claim 112706,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 17559,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 20823,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 23847,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 46552,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 46553,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 53268,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 88026,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 88682,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 90992,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 109563,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 112094,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 112306,0.0,0.0,0
Truck 14551,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 112307,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 28909,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 29177,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 41878,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 46932,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 46933,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 62516,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 68493,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 89486,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 91457,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 109006,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 109754,0.0,0.0,0
Truck 14552,Style 8,Option 33,Option 101,Option 182,Option 240,Option 265,Option 285,Option 291,Option 301,Claim 110625,0.0,0.0,0
