Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 36127,Claim 19987,Low,Low
Truck 616,Claim 19988,Low,Low
Truck 340,Claim 19989,Low,Low
Truck 33132,Claim 19990,Low,Low
Truck 41160,Claim 19991,Low,Low
Truck 31193,Claim 19992,Low,Low
Truck 38629,Claim 19993,Low,Low
Truck 19393,Claim 19994,Low,Low
Truck 25329,Claim 19995,Low,Low
Truck 18869,Claim 19996,Low,Low
Truck 1029,Claim 19997,Low,Low
Truck 24629,Claim 19998,Low,Low
Truck 30093,Claim 19999,Low,Low
Truck 15825,Claim 20000,Low,Low
Truck 32874,Claim 20001,Low,Low
Truck 19675,Claim 20002,Low,Low
Truck 11454,Claim 20003,Low,Low
Truck 4147,Claim 20004,Low,Low
Truck 4474,Claim 20005,Low,Low
Truck 18113,Claim 20006,Low,Low
Truck 17458,Claim 20007,Low,Low
Truck 22014,Claim 20008,Low,Low
Truck 12678,Claim 20009,Low,Low
Truck 47621,Claim 20010,Low,Low
Truck 22824,Claim 20011,Low,Low
Truck 30898,Claim 20012,Low,Low
Truck 3315,Claim 20013,Low,Low
Truck 5266,Claim 20014,Low,Low
Truck 14584,Claim 20015,Low,Low
Truck 41615,Claim 20016,Low,Low
Truck 5738,Claim 20017,Low,Low
Truck 28796,Claim 20018,Low,Low
Truck 33320,Claim 20019,Low,Low
Truck 492,Claim 20020,Low,Low
Truck 1635,Claim 20021,Low,Low
Truck 5597,Claim 20022,Low,Low
Truck 30931,Claim 20023,Low,Low
Truck 22802,Claim 20024,Low,Low
Truck 44446,Claim 20025,Low,Low
Truck 11674,Claim 20026,Low,Low
Truck 19265,Claim 20027,Low,Low
Truck 46355,Claim 20028,Low,Low
Truck 37457,Claim 20029,Low,Low
Truck 43618,Claim 20030,Low,Low
Truck 35327,Claim 20031,Low,Low
Truck 42926,Claim 20032,Low,Low
Truck 6938,Claim 20033,Low,Low
Truck 32,Claim 20034,Low,Low
Truck 21124,Claim 20035,Low,Low
Truck 3204,Claim 20036,Low,Low
Truck 21328,Claim 20037,Low,Low
Truck 4508,Claim 20038,Low,Low
Truck 4205,Claim 20039,Low,Low
Truck 29746,Claim 20040,Low,Low
Truck 33429,Claim 20041,Low,Low
Truck 39538,Claim 20042,Low,Low
Truck 1103,Claim 20043,Low,Low
Truck 31443,Claim 20044,Low,Low
Truck 1888,Claim 20045,Low,Low
Truck 41124,Claim 20046,Low,Low
Truck 822,Claim 20047,Low,Low
Truck 38946,Claim 20048,Low,Low
Truck 12554,Claim 20049,Low,Low
Truck 14715,Claim 20050,Low,Low
Truck 7003,Claim 20051,Low,Low
Truck 17838,Claim 20052,Low,Low
Truck 10516,Claim 20053,Low,Low
Truck 2262,Claim 20054,Low,Low
Truck 38027,Claim 20055,Low,Low
Truck 14682,Claim 20056,Low,Low
Truck 46281,Claim 20057,Low,Low
Truck 25947,Claim 20058,Low,Low
Truck 14958,Claim 20059,Low,Low
Truck 26966,Claim 20060,Low,Low
Truck 46330,Claim 20061,Low,Low
Truck 30190,Claim 20062,Low,Low
Truck 19089,Claim 20063,Low,Low
Truck 5758,Claim 20064,Low,Low
Truck 44784,Claim 20065,Low,Low
Truck 24365,Claim 20066,Low,Low
Truck 1352,Claim 20067,Low,Low
Truck 3084,Claim 20068,Low,Low
Truck 10334,Claim 20069,Low,Low
Truck 19736,Claim 20070,Low,Low
Truck 307,Claim 20071,Low,Low
Truck 7129,Claim 20072,Low,Low
Truck 38204,Claim 20073,Low,Low
Truck 24198,Claim 20074,Low,Low
Truck 44420,Claim 20075,Low,Low
Truck 23417,Claim 20076,Low,Low
Truck 7669,Claim 20077,Low,Low
Truck 23762,Claim 20078,Low,Low
Truck 8230,Claim 20079,Low,Low
Truck 1069,Claim 20080,Low,Low
Truck 20347,Claim 20081,Low,Low
Truck 42811,Claim 20082,Low,Low
Truck 4124,Claim 20083,Low,Low
Truck 30489,Claim 20084,Low,Low
Truck 890,Claim 20085,Low,Low
Truck 29256,Claim 20086,Low,Low
Truck 7668,Claim 20087,Low,Low
Truck 15539,Claim 20088,Low,Low
Truck 113,Claim 20089,Low,Low
Truck 14556,Claim 20090,Low,Low
Truck 22354,Claim 20091,Low,Low
Truck 20129,Claim 20092,Low,Low
Truck 35007,Claim 20093,Low,Low
Truck 29245,Claim 20094,Low,Low
Truck 35597,Claim 20095,Low,Low
Truck 37076,Claim 20096,Low,Low
Truck 37051,Claim 20097,Low,Low
Truck 42996,Claim 20098,Low,Low
Truck 19259,Claim 20099,Low,Low
Truck 19097,Claim 20100,Low,Low
Truck 36801,Claim 20101,Low,Low
Truck 5930,Claim 20102,Low,Low
Truck 40174,Claim 20103,Low,Low
Truck 14566,Claim 20104,Low,Low
Truck 10,Claim 20105,Low,Low
Truck 25494,Claim 20106,Low,Low
Truck 1933,Claim 20107,Low,Low
Truck 878,Claim 20108,Low,Low
Truck 953,Claim 20109,Low,Low
Truck 19239,Claim 20110,Low,Low
Truck 25720,Claim 20111,Low,Low
Truck 9002,Claim 20112,Low,Low
Truck 12052,Claim 20113,Low,Low
Truck 4220,Claim 20114,Low,Low
Truck 8742,Claim 20115,Low,Low
Truck 19126,Claim 20116,Low,Low
Truck 19196,Claim 20117,Low,Low
Truck 25661,Claim 20118,Low,Low
Truck 26281,Claim 20119,Low,Low
Truck 25129,Claim 20120,Low,Low
Truck 44896,Claim 20121,Low,Low
Truck 8373,Claim 20122,Low,Low
Truck 42858,Claim 20123,Low,Low
Truck 1044,Claim 20124,Low,Low
Truck 25682,Claim 20125,Low,Low
Truck 33498,Claim 20126,Low,Low
Truck 47208,Claim 20127,Low,Low
Truck 4051,Claim 20128,Low,Low
Truck 9505,Claim 20129,Low,Low
Truck 40456,Claim 20130,Low,Low
Truck 27191,Claim 20131,Low,Low
Truck 16907,Claim 20132,Low,Low
Truck 26173,Claim 20133,Low,Low
Truck 36785,Claim 20134,Low,Low
Truck 26217,Claim 20135,Low,Low
Truck 16902,Claim 20136,Low,Low
Truck 43101,Claim 20137,Low,Low
Truck 36817,Claim 20138,Low,Low
Truck 8975,Claim 20139,Low,Low
Truck 20195,Claim 20140,Low,Low
Truck 31297,Claim 20141,Low,Low
Truck 10039,Claim 20142,Low,Low
Truck 17364,Claim 20143,Low,Low
Truck 5036,Claim 20144,Low,Low
Truck 10736,Claim 20145,Low,Low
Truck 9075,Claim 20146,Low,Low
Truck 32908,Claim 20147,Low,Low
Truck 19243,Claim 20148,Low,Low
Truck 30597,Claim 20149,Low,Low
Truck 685,Claim 20150,Low,Low
Truck 25100,Claim 20151,Low,Low
Truck 22684,Claim 20152,Low,Low
Truck 36945,Claim 20153,Low,Low
Truck 38466,Claim 20154,Low,Low
Truck 6516,Claim 20155,Low,Low
Truck 30309,Claim 20156,Low,Low
Truck 7619,Claim 20157,Low,Low
Truck 29454,Claim 20158,Low,Low
Truck 38282,Claim 20159,Low,Low
Truck 45731,Claim 20160,Low,Low
Truck 46652,Claim 20161,Low,Low
Truck 40429,Claim 20162,Low,Low
Truck 12583,Claim 20163,Low,Low
Truck 12326,Claim 20164,Low,Low
Truck 32994,Claim 20165,Low,Low
Truck 22822,Claim 20166,Low,Low
Truck 2063,Claim 20167,Low,Low
Truck 21132,Claim 20168,Low,Low
Truck 17343,Claim 20169,Low,Low
Truck 4996,Claim 20170,Low,Low
Truck 2498,Claim 20171,Low,Low
Truck 40322,Claim 20172,Low,Low
Truck 23784,Claim 20173,Low,Low
Truck 39197,Claim 20174,Low,Low
Truck 44317,Claim 20175,Low,Low
Truck 14666,Claim 20176,Low,Low
Truck 16435,Claim 20177,Low,Low
Truck 16430,Claim 20178,Low,Low
Truck 16439,Claim 20179,Low,Low
Truck 23088,Claim 20180,Low,Low
Truck 30888,Claim 20181,Low,Low
Truck 12903,Claim 20182,Low,Low
Truck 5603,Claim 20183,Low,Low
Truck 35214,Claim 20184,Low,Low
Truck 29930,Claim 20185,Low,Low
Truck 1811,Claim 20186,Low,Low
Truck 26904,Claim 20187,Low,Low
Truck 28454,Claim 20188,Low,Low
Truck 3646,Claim 20189,Low,Low
Truck 9574,Claim 20190,Low,Low
Truck 14016,Claim 20191,Low,Low
Truck 18035,Claim 20192,Low,Low
Truck 10980,Claim 20193,Low,Low
Truck 9979,Claim 20194,Low,Low
Truck 47753,Claim 20195,Low,Low
Truck 40349,Claim 20196,Low,Low
Truck 863,Claim 20197,Low,Low
Truck 27318,Claim 20198,Low,Low
Truck 7504,Claim 20199,Low,Low
Truck 31536,Claim 20200,Low,Low
Truck 44147,Claim 20201,Low,Low
Truck 4191,Claim 20202,Low,Low
Truck 7167,Claim 20203,Low,Low
Truck 4509,Claim 20204,Low,Low
Truck 6746,Claim 20205,Low,Low
Truck 5128,Claim 20206,Low,Low
Truck 1231,Claim 20207,Low,Low
Truck 7716,Claim 20208,Low,Low
Truck 4475,Claim 20209,Low,Low
Truck 12151,Claim 20210,Low,Low
Truck 3577,Claim 20211,Low,Low
Truck 34754,Claim 20212,Low,Low
Truck 38555,Claim 20213,Low,Low
Truck 19236,Claim 20214,Low,Low
Truck 37634,Claim 20215,Low,Low
Truck 44652,Claim 20216,Low,Low
Truck 20864,Claim 20217,Low,Low
Truck 20917,Claim 20218,Low,Low
Truck 20885,Claim 20219,Low,Low
Truck 1654,Claim 20220,Low,Low
Truck 6790,Claim 20221,Low,Low
Truck 7570,Claim 20222,Low,Low
Truck 4250,Claim 20223,Low,Low
Truck 2524,Claim 20224,Low,Low
Truck 10186,Claim 20225,Low,Low
Truck 38663,Claim 20226,Low,Low
Truck 20216,Claim 20227,Low,Low
Truck 46587,Claim 20228,Low,Low
Truck 36817,Claim 20229,Low,Low
Truck 41463,Claim 20230,Low,Low
Truck 24153,Claim 20231,Low,Low
Truck 13481,Claim 20232,Low,Low
Truck 22846,Claim 20233,Low,Low
Truck 20262,Claim 20234,Low,Low
Truck 35851,Claim 20235,Low,Low
Truck 3945,Claim 20236,Low,Low
Truck 1947,Claim 20237,Low,Low
Truck 1704,Claim 20238,Low,Low
Truck 42372,Claim 20239,Low,Low
Truck 19286,Claim 20240,Low,Low
Truck 46601,Claim 20241,Low,Low
Truck 5758,Claim 20242,Low,Low
Truck 27230,Claim 20243,Low,Low
Truck 8063,Claim 20244,Low,Low
Truck 10553,Claim 20245,Low,Low
Truck 40021,Claim 20246,Low,Low
Truck 35433,Claim 20247,Low,Low
Truck 10907,Claim 20248,Low,Low
Truck 46516,Claim 20249,Low,Low
Truck 29728,Claim 20250,Low,Low
Truck 26546,Claim 20251,Low,Low
Truck 23558,Claim 20252,Low,Low
Truck 2996,Claim 20253,Low,Low
Truck 39137,Claim 20254,Low,Low
Truck 6584,Claim 20255,Low,Low
Truck 27836,Claim 20256,Low,Low
Truck 41165,Claim 20257,Low,Low
Truck 47911,Claim 20258,Low,Low
Truck 4468,Claim 20259,Low,Low
Truck 18248,Claim 20260,Low,Low
Truck 1,Claim 20261,Low,Low
Truck 41916,Claim 20262,Low,Low
Truck 10637,Claim 20263,Low,Low
Truck 18846,Claim 20264,Low,Low
Truck 27760,Claim 20265,Low,Low
Truck 25975,Claim 20266,Low,Low
Truck 31491,Claim 20267,Low,Low
Truck 22514,Claim 20268,Low,Low
Truck 19376,Claim 20269,Low,Low
Truck 12654,Claim 20270,Low,Low
Truck 2108,Claim 20271,Low,Low
Truck 872,Claim 20272,Low,Low
Truck 45878,Claim 20273,Low,Low
Truck 47826,Claim 20274,Low,Low
Truck 33671,Claim 20275,Low,Low
Truck 23501,Claim 20276,Low,Low
Truck 43525,Claim 20277,Low,Low
Truck 47338,Claim 20278,Low,Low
Truck 37075,Claim 20279,Low,Low
Truck 8747,Claim 20280,Low,Low
Truck 30880,Claim 20281,Low,Low
Truck 3161,Claim 20282,Low,Low
Truck 25701,Claim 20283,Low,Low
Truck 15367,Claim 20284,Low,Low
Truck 35973,Claim 20285,Low,Low
Truck 16690,Claim 20286,Low,Low
Truck 24657,Claim 20287,Low,Low
Truck 37545,Claim 20288,Low,Low
Truck 4689,Claim 20289,Low,Low
Truck 43766,Claim 20290,Low,Low
Truck 10097,Claim 20291,Low,Low
Truck 23522,Claim 20292,Low,Low
Truck 19386,Claim 20293,Low,Low
Truck 45767,Claim 20294,Low,Low
Truck 5526,Claim 20295,Low,Low
Truck 14698,Claim 20296,Low,Low
Truck 6743,Claim 20297,Low,Low
Truck 18843,Claim 20298,Low,Low
Truck 20192,Claim 20299,Low,Low
Truck 21299,Claim 20300,Low,Low
Truck 46925,Claim 20301,Low,Low
Truck 15906,Claim 20302,Low,Low
Truck 37851,Claim 20303,Low,Low
Truck 26719,Claim 20304,Low,Low
Truck 1598,Claim 20305,Low,Low
Truck 17731,Claim 20306,Low,Low
Truck 7012,Claim 20307,Low,Low
Truck 27690,Claim 20308,Low,Low
Truck 13462,Claim 20309,Low,Low
Truck 3271,Claim 20310,Low,Low
Truck 4277,Claim 20311,Low,Low
Truck 25341,Claim 20312,Low,Low
Truck 30215,Claim 20313,Low,Low
Truck 541,Claim 20314,Low,Low
Truck 38981,Claim 20315,Low,Low
Truck 13612,Claim 20316,Low,Low
Truck 43301,Claim 20317,Low,Low
Truck 39770,Claim 20318,Low,Low
Truck 38870,Claim 20319,Low,Low
Truck 42985,Claim 20320,Low,Low
Truck 34564,Claim 20321,Low,Low
Truck 18945,Claim 20322,Low,Low
Truck 1683,Claim 20323,Low,Low
Truck 33305,Claim 20324,Low,Low
Truck 22469,Claim 20325,Low,Low
Truck 28315,Claim 20326,Low,Low
Truck 24760,Claim 20327,Low,Low
Truck 11840,Claim 20328,Low,Low
Truck 29025,Claim 20329,Low,Low
Truck 26480,Claim 20330,Low,Low
Truck 16902,Claim 20331,Low,Low
Truck 17529,Claim 20332,Low,Low
Truck 21170,Claim 20333,Low,Low
Truck 9190,Claim 20334,Low,Low
Truck 31037,Claim 20335,Low,Low
Truck 15448,Claim 20336,Low,Low
Truck 14053,Claim 20337,Low,Low
Truck 36651,Claim 20338,Low,Low
Truck 3944,Claim 20339,Low,Low
Truck 36045,Claim 20340,Low,Low
Truck 4238,Claim 20341,Low,Low
Truck 39865,Claim 20342,Low,Low
Truck 41916,Claim 20343,Low,Low
Truck 441,Claim 20344,Low,Low
Truck 44233,Claim 20345,Low,Low
Truck 29147,Claim 20346,Low,Low
Truck 13998,Claim 20347,Low,Low
Truck 16310,Claim 20348,Low,Low
Truck 17317,Claim 20349,Low,Low
Truck 2897,Claim 20350,Low,Low
Truck 20428,Claim 20351,Low,Low
Truck 42950,Claim 20352,Low,Low
Truck 31523,Claim 20353,Low,Low
Truck 19100,Claim 20354,Low,Low
Truck 32920,Claim 20355,Low,Low
Truck 47107,Claim 20356,Low,Low
Truck 9045,Claim 20357,Low,Low
Truck 45808,Claim 20358,Low,Low
Truck 45808,Claim 20359,Low,Low
Truck 45808,Claim 20360,Low,Low
Truck 4772,Claim 20361,Low,Low
Truck 11699,Claim 20362,Low,Low
Truck 14714,Claim 20363,Low,Low
Truck 26267,Claim 20364,Low,Low
Truck 19755,Claim 20365,Low,Low
Truck 43113,Claim 20366,Low,Low
Truck 1189,Claim 20367,Low,Low
Truck 14543,Claim 20368,Low,Low
Truck 40717,Claim 20369,Low,Low
Truck 6766,Claim 20370,Low,Low
Truck 26024,Claim 20371,Low,Low
Truck 12066,Claim 20372,Low,Low
Truck 17137,Claim 20373,Low,Low
Truck 42180,Claim 20374,Low,Low
Truck 1193,Claim 20375,Low,Low
Truck 2250,Claim 20376,Low,Low
Truck 39661,Claim 20377,Low,Low
Truck 2631,Claim 20378,Low,Low
Truck 28956,Claim 20379,Low,Low
Truck 1614,Claim 20380,Low,Low
Truck 41098,Claim 20381,Low,Low
Truck 16145,Claim 20382,Low,Low
Truck 27164,Claim 20383,Low,Low
Truck 1806,Claim 20384,Low,Low
Truck 31333,Claim 20385,Low,Low
Truck 551,Claim 20386,Low,Low
Truck 42999,Claim 20387,Low,Low
Truck 40402,Claim 20388,Low,Low
Truck 15143,Claim 20389,Low,Low
Truck 2890,Claim 20390,Low,Low
Truck 10032,Claim 20391,Low,Low
Truck 43815,Claim 20392,Low,Low
Truck 47744,Claim 20393,Low,Low
Truck 4480,Claim 20394,Low,Low
Truck 45034,Claim 20395,Low,Low
Truck 45740,Claim 20396,Low,Low
Truck 35582,Claim 20397,Low,Low
Truck 24376,Claim 20398,Low,Low
Truck 16231,Claim 20399,Low,Low
Truck 38662,Claim 20400,Low,Low
Truck 27200,Claim 20401,Low,Low
Truck 26631,Claim 20402,Low,Low
Truck 27289,Claim 20403,Low,Low
Truck 24712,Claim 20404,Low,Low
Truck 21108,Claim 20405,Low,Low
Truck 19255,Claim 20406,Low,Low
Truck 45509,Claim 20407,Low,Low
Truck 21740,Claim 20408,Low,Low
Truck 26064,Claim 20409,Low,Low
Truck 20179,Claim 20410,Low,Low
Truck 46893,Claim 20411,Low,Low
Truck 12877,Claim 20412,Low,Low
Truck 25867,Claim 20413,Low,Low
Truck 22683,Claim 20414,Low,Low
Truck 26281,Claim 20415,Low,Low
Truck 25726,Claim 20416,Low,Low
Truck 17067,Claim 20417,Low,Low
Truck 7839,Claim 20418,Low,Low
Truck 1413,Claim 20419,Low,Low
Truck 6186,Claim 20420,Low,Low
Truck 27045,Claim 20421,Low,Low
Truck 33938,Claim 20422,Low,Low
Truck 20493,Claim 20423,Low,Low
Truck 14303,Claim 20424,Low,Low
Truck 3191,Claim 20425,Low,Low
Truck 28333,Claim 20426,Low,Low
Truck 38058,Claim 20427,Low,Low
Truck 38637,Claim 20428,Low,Low
Truck 6306,Claim 20429,Low,Low
Truck 29124,Claim 20430,Low,Low
Truck 29126,Claim 20431,Low,Low
Truck 29137,Claim 20432,Low,Low
Truck 29130,Claim 20433,Low,Low
Truck 6709,Claim 20434,Low,Low
Truck 14464,Claim 20435,Low,Low
Truck 23620,Claim 20436,Low,Low
Truck 47519,Claim 20437,Low,Low
Truck 5901,Claim 20438,Low,Low
Truck 27153,Claim 20439,Low,Low
Truck 26728,Claim 20440,Low,Low
Truck 25328,Claim 20441,Low,Low
Truck 19399,Claim 20442,Low,Low
Truck 35093,Claim 20443,Low,Low
Truck 37086,Claim 20444,Low,Low
Truck 3159,Claim 20445,Low,Low
Truck 5071,Claim 20446,Low,Low
Truck 30339,Claim 20447,Low,Low
Truck 6829,Claim 20448,Low,Low
Truck 27087,Claim 20449,Low,Low
Truck 44489,Claim 20450,Low,Low
Truck 5571,Claim 20451,Low,Low
Truck 11000,Claim 20452,Low,Low
Truck 446,Claim 20453,Low,Low
Truck 46939,Claim 20454,Low,Low
Truck 11577,Claim 20455,Low,Low
Truck 43158,Claim 20456,Low,Low
Truck 48072,Claim 20457,Low,Low
Truck 39000,Claim 20458,Low,Low
Truck 25589,Claim 20459,Low,Low
Truck 19387,Claim 20460,Low,Low
Truck 25894,Claim 20461,Low,Low
Truck 38453,Claim 20462,Low,Low
Truck 3788,Claim 20463,Low,Low
Truck 3106,Claim 20464,Low,Low
Truck 11355,Claim 20465,Low,Low
Truck 6583,Claim 20466,Low,Low
Truck 6739,Claim 20467,Low,Low
Truck 24268,Claim 20468,Low,Low
Truck 47052,Claim 20469,Low,Low
Truck 41223,Claim 20470,Low,Low
Truck 25533,Claim 20471,Low,Low
Truck 1403,Claim 20472,Low,Low
Truck 43159,Claim 20473,Low,Low
Truck 19302,Claim 20474,Low,Low
Truck 24378,Claim 20475,Low,Low
Truck 23302,Claim 20476,Low,Low
Truck 19226,Claim 20477,Low,Low
Truck 26466,Claim 20478,Low,Low
Truck 34869,Claim 20479,Low,Low
Truck 44635,Claim 20480,Low,Low
Truck 19643,Claim 20481,Low,Low
Truck 1718,Claim 20482,Low,Low
Truck 805,Claim 20483,Low,Low
Truck 13636,Claim 20484,Low,Low
Truck 21581,Claim 20485,Low,Low
Truck 10917,Claim 20486,Low,Low
Truck 25261,Claim 20487,Low,Low
Truck 13716,Claim 20488,Low,Low
Truck 1194,Claim 20489,Low,Low
Truck 837,Claim 20490,Low,Low
Truck 16448,Claim 20491,Low,Low
Truck 38273,Claim 20492,Low,Low
Truck 43220,Claim 20493,Low,Low
Truck 28431,Claim 20494,Low,Low
Truck 16438,Claim 20495,Low,Low
Truck 16433,Claim 20496,Low,Low
Truck 16437,Claim 20497,Low,Low
Truck 16431,Claim 20498,Low,Low
Truck 16432,Claim 20499,Low,Low
Truck 676,Claim 20500,Low,Low
Truck 16449,Claim 20501,Low,Low
Truck 16445,Claim 20502,Low,Low
Truck 16443,Claim 20503,Low,Low
Truck 16446,Claim 20504,Low,Low
Truck 16442,Claim 20505,Low,Low
Truck 16440,Claim 20506,Low,Low
Truck 16447,Claim 20507,Low,Low
Truck 16436,Claim 20508,Low,Low
Truck 17389,Claim 20509,Low,Low
Truck 9384,Claim 20510,Low,Low
Truck 39644,Claim 20511,Low,Low
Truck 47721,Claim 20512,Low,Low
Truck 34789,Claim 20513,Low,Low
Truck 30215,Claim 20514,Low,Low
Truck 16441,Claim 20515,Low,Low
Truck 45784,Claim 20516,Low,Low
Truck 16434,Claim 20517,Low,Low
Truck 16444,Claim 20518,Low,Low
Truck 3426,Claim 20519,Low,Low
Truck 29489,Claim 20520,Low,Low
Truck 4721,Claim 20521,Low,Low
Truck 27561,Claim 20522,Low,Low
Truck 6955,Claim 20523,Low,Low
Truck 30179,Claim 20524,Low,Low
Truck 28155,Claim 20525,Low,Low
Truck 7152,Claim 20526,Low,Low
Truck 22234,Claim 20527,Low,Low
Truck 2031,Claim 20528,Low,Low
Truck 42605,Claim 20529,Low,Low
Truck 11641,Claim 20530,Low,Low
Truck 27462,Claim 20531,Low,Low
Truck 11777,Claim 20532,Low,Low
Truck 15661,Claim 20533,Low,Low
Truck 41912,Claim 20534,Low,Low
Truck 46654,Claim 20535,Low,Low
Truck 1041,Claim 20536,Low,Low
Truck 36823,Claim 20537,Low,Low
Truck 10376,Claim 20538,Low,Low
Truck 38914,Claim 20539,Low,Low
Truck 30053,Claim 20540,Low,Low
Truck 32678,Claim 20541,Low,Low
Truck 46754,Claim 20542,Low,Low
Truck 48146,Claim 20543,Low,Low
Truck 30963,Claim 20544,Low,Low
Truck 30879,Claim 20545,Low,Low
Truck 12066,Claim 20546,Low,Low
Truck 8786,Claim 20547,Low,Low
Truck 15002,Claim 20548,Low,Low
Truck 13186,Claim 20549,Low,Low
Truck 35011,Claim 20550,Low,Low
Truck 15463,Claim 20551,Low,Low
Truck 10265,Claim 20552,Low,Low
Truck 39096,Claim 20553,Low,Low
Truck 7715,Claim 20554,Low,Low
Truck 41622,Claim 20555,Low,Low
Truck 17449,Claim 20556,Low,Low
Truck 23811,Claim 20557,Low,Low
Truck 1293,Claim 20558,Low,Low
Truck 1488,Claim 20559,Low,Low
Truck 10920,Claim 20560,Low,Low
Truck 29103,Claim 20561,Low,Low
Truck 41179,Claim 20562,Low,Low
Truck 4774,Claim 20563,Low,Low
Truck 31943,Claim 20564,Low,Low
Truck 17448,Claim 20565,Low,Low
Truck 26470,Claim 20566,Low,Low
Truck 10748,Claim 20567,Low,Low
Truck 35302,Claim 20568,Low,Low
Truck 40754,Claim 20569,Low,Low
Truck 46043,Claim 20570,Low,Low
Truck 33695,Claim 20571,Low,Low
Truck 2326,Claim 20572,Low,Low
Truck 9707,Claim 20573,Low,Low
Truck 2949,Claim 20574,Low,Low
Truck 44429,Claim 20575,Low,Low
Truck 1605,Claim 20576,Low,Low
Truck 31883,Claim 20577,Low,Low
Truck 20555,Claim 20578,Low,Low
Truck 25502,Claim 20579,Low,Low
Truck 20553,Claim 20580,Low,Low
Truck 21047,Claim 20581,Low,Low
Truck 16871,Claim 20582,Low,Low
Truck 43301,Claim 20583,Low,Low
Truck 21137,Claim 20584,Low,Low
Truck 44270,Claim 20585,Low,Low
Truck 10584,Claim 20586,Low,Low
Truck 32585,Claim 20587,Low,Low
Truck 29430,Claim 20588,Low,Low
Truck 24031,Claim 20589,Low,Low
Truck 10465,Claim 20590,Low,Low
Truck 40787,Claim 20591,Low,Low
Truck 20206,Claim 20592,Low,Low
Truck 27570,Claim 20593,Low,Low
Truck 47639,Claim 20594,Low,Low
Truck 29341,Claim 20595,Low,Low
Truck 41511,Claim 20596,Low,Low
Truck 31864,Claim 20597,Low,Low
Truck 21529,Claim 20598,Low,Low
Truck 7235,Claim 20599,Low,Low
Truck 109,Claim 20600,Low,Low
Truck 27945,Claim 20601,Low,Low
Truck 24752,Claim 20602,Low,Low
Truck 46156,Claim 20603,Low,Low
Truck 34655,Claim 20604,Low,Low
Truck 38582,Claim 20605,Low,Low
Truck 14036,Claim 20606,Low,Low
Truck 22416,Claim 20607,Low,Low
Truck 46071,Claim 20608,Low,Low
Truck 43962,Claim 20609,Low,Low
Truck 46048,Claim 20610,Low,Low
Truck 18248,Claim 20611,Low,Low
Truck 392,Claim 20612,Low,Low
Truck 42240,Claim 20613,Low,Low
Truck 38683,Claim 20614,Low,Low
Truck 40691,Claim 20615,Low,Low
Truck 37001,Claim 20616,Low,Low
Truck 45731,Claim 20617,Low,Low
Truck 11698,Claim 20618,Low,Low
Truck 10853,Claim 20619,Low,Low
Truck 8234,Claim 20620,Low,Low
Truck 39958,Claim 20621,Low,Low
Truck 2365,Claim 20622,Low,Low
Truck 47344,Claim 20623,Low,Low
Truck 29370,Claim 20624,Low,Low
Truck 266,Claim 20625,Low,Low
Truck 21169,Claim 20626,Low,Low
Truck 28022,Claim 20627,Low,Low
Truck 26025,Claim 20628,Low,Low
Truck 13998,Claim 20629,Low,Low
Truck 33466,Claim 20630,Low,Low
Truck 5611,Claim 20631,Low,Low
Truck 676,Claim 20632,Low,Low
Truck 31848,Claim 20633,Low,Low
Truck 45374,Claim 20634,Low,Low
Truck 1556,Claim 20635,Low,Low
Truck 8373,Claim 20636,Low,Low
Truck 47349,Claim 20637,Low,Low
Truck 28934,Claim 20638,Low,Low
Truck 6444,Claim 20639,Low,Low
Truck 29017,Claim 20640,Low,Low
Truck 20401,Claim 20641,Low,Low
Truck 9503,Claim 20642,Low,Low
Truck 48132,Claim 20643,Low,Low
Truck 23935,Claim 20644,Low,Low
Truck 7032,Claim 20645,Low,Low
Truck 22474,Claim 20646,Low,Low
Truck 39151,Claim 20647,Low,Low
Truck 29400,Claim 20648,Low,Low
Truck 39706,Claim 20649,Low,Low
Truck 28524,Claim 20650,Low,Low
Truck 26714,Claim 20651,Low,Low
Truck 47688,Claim 20652,Low,Low
Truck 12942,Claim 20653,Low,Low
Truck 5440,Claim 20654,Low,Low
Truck 25847,Claim 20655,Low,Low
Truck 22562,Claim 20656,Low,Low
Truck 31697,Claim 20657,Low,Low
Truck 4472,Claim 20658,Low,Low
Truck 16987,Claim 20659,Low,Low
Truck 18036,Claim 20660,Low,Low
Truck 35174,Claim 20661,Low,Low
Truck 43330,Claim 20662,Low,Low
Truck 12811,Claim 20663,Low,Low
Truck 35937,Claim 20664,Low,Low
Truck 372,Claim 20665,Low,Low
Truck 14676,Claim 20666,Low,Low
Truck 14672,Claim 20667,Low,Low
Truck 9932,Claim 20668,Low,Low
Truck 43435,Claim 20669,Low,Low
Truck 28855,Claim 20670,Low,Low
Truck 4723,Claim 20671,Low,Low
Truck 19110,Claim 20672,Low,Low
Truck 202,Claim 20673,Low,Low
Truck 8088,Claim 20674,Low,Low
Truck 16181,Claim 20675,Low,Low
Truck 30418,Claim 20676,Low,Low
Truck 6401,Claim 20677,Low,Low
Truck 31636,Claim 20678,Low,Low
Truck 25005,Claim 20679,Low,Low
Truck 6513,Claim 20680,Low,Low
Truck 1181,Claim 20681,Low,Low
Truck 42918,Claim 20682,Low,Low
Truck 16706,Claim 20683,Low,Low
Truck 5034,Claim 20684,Low,Low
Truck 35531,Claim 20685,Low,Low
